,trial_type,session,run,subject_id,trial_id,stimulus
13,test,1,1,3,13,horseshoe_13n.jpg
16,test,1,1,3,16,altar_13s.jpg
30,test,1,1,3,30,easel_15s.jpg
38,test,1,1,3,38,iguana_20s.jpg
39,test,1,1,3,39,boa_13s.jpg
44,test,1,1,3,44,cheese_14n.jpg
50,test,1,1,3,50,jam_15s.jpg
64,test,1,1,3,64,grape_20s.jpg
78,test,1,1,3,78,beaver_13n.jpg
80,test,1,1,3,80,seesaw_13s.jpg
84,test,1,2,3,84,hippopotamus_16s.jpg
89,test,1,2,3,89,pacifier_14s.jpg
108,test,1,2,3,108,candelabra_14s.jpg
110,test,1,2,3,110,spoon_13n.jpg
119,test,1,2,3,119,graffiti_17s.jpg
122,test,1,2,3,122,tent_14n.jpg
127,test,1,2,3,127,alligator_14n.jpg
129,test,1,2,3,129,clipboard_14s.jpg
130,test,1,2,3,130,boat_14n.jpg
159,test,1,2,3,159,dragonfly_13s.jpg
167,test,1,3,3,167,key_17s.jpg
173,test,1,3,3,173,speaker_16s.jpg
189,test,1,3,3,189,ashtray_14n.jpg
192,test,1,3,3,192,helicopter_25s.jpg
195,test,1,3,3,195,bike_14s.jpg
207,test,1,3,3,207,marshmallow_13s.jpg
221,test,1,3,3,221,drain_16s.jpg
228,test,1,3,3,228,dough_19s.jpg
229,test,1,3,3,229,pan_14s.jpg
241,test,1,3,3,241,umbrella_13s.jpg
249,test,1,4,3,249,axe_14n.jpg
250,test,1,4,3,250,hula_hoop_16s.jpg
256,test,1,4,3,256,tamale_16s.jpg
275,test,1,4,3,275,brownie_14s.jpg
280,test,1,4,3,280,quill_15s.jpg
296,test,1,4,3,296,cow_16n.jpg
304,test,1,4,3,304,television_14n.jpg
307,test,1,4,3,307,joystick_14s.jpg
309,test,1,4,3,309,monkey_18n.jpg
313,test,1,4,3,313,pear_13s.jpg
328,test,1,5,3,328,wallpaper_13s.jpg
330,test,1,5,3,330,lemonade_14s.jpg
336,test,1,5,3,336,coat_rack_13s.jpg
343,test,1,5,3,343,urinal_13s.jpg
346,test,1,5,3,346,crank_16s.jpg
381,test,1,5,3,381,rabbit_13n.jpg
388,test,1,5,3,388,pumpkin_21n.jpg
397,test,1,5,3,397,lasagna_13s.jpg
404,test,1,5,3,404,footprint_15s.jpg
405,test,1,5,3,405,peach_14n.jpg
422,test,1,6,3,422,wasp_15n.jpg
429,test,1,6,3,429,banana_13s.jpg
437,test,1,6,3,437,cookie_15s.jpg
451,test,1,6,3,451,bean_13s.jpg
453,test,1,6,3,453,chest1_14s.jpg
454,test,1,6,3,454,mango_13s.jpg
470,test,1,6,3,470,mousetrap_14s.jpg
483,test,1,6,3,483,streetlight_13s.jpg
487,test,1,6,3,487,whip_14s.jpg
488,test,1,6,3,488,bulldozer_22n.jpg
495,test,1,7,3,495,donut_15s.jpg
522,test,1,7,3,522,jar_14s.jpg
526,test,1,7,3,526,hovercraft_13n.jpg
531,test,1,7,3,531,typewriter_13s.jpg
537,test,1,7,3,537,grate_13s.jpg
543,test,1,7,3,543,ferris_wheel_20s.jpg
558,test,1,7,3,558,fudge_14s.jpg
559,test,1,7,3,559,uniform_14s.jpg
