,trial_type,session,run,subject_id,trial_id,stimulus
8,test,1,1,2,8,key_17s.jpg
14,test,1,1,2,14,tamale_16s.jpg
16,test,1,1,2,16,uniform_14s.jpg
33,test,1,1,2,33,crayon_15s.jpg
39,test,1,1,2,39,starfish_15n.jpg
50,test,1,1,2,50,coat_rack_13s.jpg
52,test,1,1,2,52,ashtray_14n.jpg
62,test,1,1,2,62,bean_13s.jpg
65,test,1,1,2,65,mousetrap_14s.jpg
71,test,1,1,2,71,nest_13s.jpg
84,test,1,2,2,84,cheese_14n.jpg
85,test,1,2,2,85,bulldozer_22n.jpg
92,test,1,2,2,92,clipboard_14s.jpg
95,test,1,2,2,95,iguana_20s.jpg
99,test,1,2,2,99,helicopter_25s.jpg
111,test,1,2,2,111,boa_13s.jpg
131,test,1,2,2,131,piano_13n.jpg
148,test,1,2,2,148,headlamp_14s.jpg
153,test,1,2,2,153,kazoo_14s.jpg
160,test,1,2,2,160,wallpaper_13s.jpg
164,test,1,3,2,164,stalagmite_14s.jpg
172,test,1,3,2,172,cow_16n.jpg
174,test,1,3,2,174,altar_13s.jpg
181,test,1,3,2,181,rabbit_13n.jpg
208,test,1,3,2,208,sim_card_13s.jpg
215,test,1,3,2,215,bed_20n.jpg
219,test,1,3,2,219,lemonade_14s.jpg
240,test,1,3,2,240,hula_hoop_16s.jpg
243,test,1,3,2,243,mosquito_net_13s.jpg
245,test,1,3,2,245,fudge_14s.jpg
250,test,1,4,2,250,bobsled_14s.jpg
256,test,1,4,2,256,shredder_13s.jpg
257,test,1,4,2,257,speaker_16s.jpg
264,test,1,4,2,264,dragonfly_13s.jpg
277,test,1,4,2,277,hovercraft_13n.jpg
286,test,1,4,2,286,umbrella_13s.jpg
304,test,1,4,2,304,mango_13s.jpg
308,test,1,4,2,308,television_14n.jpg
321,test,1,4,2,321,grape_20s.jpg
322,test,1,4,2,322,joystick_14s.jpg
334,test,1,5,2,334,drain_16s.jpg
335,test,1,5,2,335,horseshoe_13n.jpg
343,test,1,5,2,343,seesaw_13s.jpg
344,test,1,5,2,344,beaver_13n.jpg
351,test,1,5,2,351,quill_15s.jpg
354,test,1,5,2,354,boat_14n.jpg
379,test,1,5,2,379,hippopotamus_16s.jpg
391,test,1,5,2,391,beer_14s.jpg
407,test,1,5,2,407,chest1_14s.jpg
409,test,1,5,2,409,typewriter_13s.jpg
416,test,1,6,2,416,bench_16n.jpg
419,test,1,6,2,419,bamboo_13s.jpg
423,test,1,6,2,423,wasp_15n.jpg
424,test,1,6,2,424,donut_15s.jpg
426,test,1,6,2,426,kimono_14s.jpg
433,test,1,6,2,433,chipmunk_16n.jpg
442,test,1,6,2,442,alligator_14n.jpg
446,test,1,6,2,446,watch_13s.jpg
461,test,1,6,2,461,jar_14s.jpg
467,test,1,6,2,467,guacamole_18s.jpg
495,test,1,7,2,495,crank_16s.jpg
497,test,1,7,2,497,blind_19s.jpg
499,test,1,7,2,499,peach_14n.jpg
507,test,1,7,2,507,streetlight_13s.jpg
519,test,1,7,2,519,marshmallow_13s.jpg
525,test,1,7,2,525,wig_13s.jpg
546,test,1,7,2,546,brace_14s.jpg
548,test,1,7,2,548,easel_15s.jpg
566,test,1,7,2,566,whip_14s.jpg
570,test,1,7,2,570,urinal_13s.jpg
589,test,1,8,2,589,cookie_15s.jpg
593,test,1,8,2,593,grate_13s.jpg
597,test,1,8,2,597,jam_15s.jpg
615,test,1,8,2,615,dough_19s.jpg
616,test,1,8,2,616,beachball_16s.jpg
617,test,1,8,2,617,footprint_15s.jpg
624,test,1,8,2,624,tent_14n.jpg
634,test,1,8,2,634,spoon_13n.jpg
641,test,1,8,2,641,ferris_wheel_20s.jpg
649,test,1,8,2,649,bike_14s.jpg
663,test,1,9,2,663,dress_13s.jpg
672,test,1,9,2,672,t-shirt_13s.jpg
678,test,1,9,2,678,lasagna_13s.jpg
688,test,1,9,2,688,pacifier_14s.jpg
694,test,1,9,2,694,drawer_13s.jpg
696,test,1,9,2,696,pear_13s.jpg
704,test,1,9,2,704,butterfly_16n.jpg
714,test,1,9,2,714,pumpkin_21n.jpg
721,test,1,9,2,721,axe_14n.jpg
725,test,1,9,2,725,candelabra_14s.jpg
743,test,1,10,2,743,horse_17s.jpg
754,test,1,10,2,754,brownie_14s.jpg
756,test,1,10,2,756,graffiti_17s.jpg
763,test,1,10,2,763,microscope_14n.jpg
777,test,1,10,2,777,monkey_18n.jpg
778,test,1,10,2,778,ribbon_13s.jpg
789,test,1,10,2,789,cufflink_16s.jpg
794,test,1,10,2,794,banana_13s.jpg
799,test,1,10,2,799,pan_14s.jpg
807,test,1,10,2,807,earring_16n.jpg
833,test,2,1,2,833,horseshoe_13n.jpg
836,test,2,1,2,836,altar_13s.jpg
850,test,2,1,2,850,easel_15s.jpg
858,test,2,1,2,858,iguana_20s.jpg
859,test,2,1,2,859,boa_13s.jpg
864,test,2,1,2,864,cheese_14n.jpg
870,test,2,1,2,870,jam_15s.jpg
884,test,2,1,2,884,grape_20s.jpg
898,test,2,1,2,898,beaver_13n.jpg
900,test,2,1,2,900,seesaw_13s.jpg
